"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.233690750E-1,7.357501984E-2,1.570327878E-1,-7.205033302E-2,1.877866621E-1
8.281644400E-1,4.258537292E-2,9.533470869E-2,-3.226065636E-2,1.092838992E-1
8.329598560E-1,9.748554230E-2,1.965594292E-2,5.843639374E-4,9.944912534E-2
8.377552730E-1,1.307754517E-1,-6.740868092E-2,6.211400032E-2,1.597006514E-1
8.425506900E-1,1.615991592E-1,-1.300876141E-1,5.711293221E-2,2.151719374E-1
8.473461060E-1,1.709928513E-1,-1.874040663E-1,5.491662025E-2,2.595663199E-1
8.521415230E-1,1.305665970E-1,-2.014019489E-1,4.817318916E-2,2.448081646E-1
8.569368880E-1,7.632064819E-2,-2.055535913E-1,6.535863876E-2,2.287987585E-1
8.617323040E-1,-1.541328430E-2,-2.473184168E-1,7.765746117E-2,2.596818244E-1
8.665277210E-1,-1.420755386E-1,-2.552902997E-1,2.552604675E-2,2.932749134E-1
8.713231380E-1,-2.986268997E-1,-2.606756985E-1,3.529000282E-2,3.979638543E-1
8.761185540E-1,-4.160785675E-1,-3.158369064E-1,3.272652626E-2,5.233978901E-1
8.809139190E-1,-5.067186356E-1,-3.398646414E-1,6.282997131E-2,6.133672272E-1
8.857093360E-1,-5.327997208E-1,-3.519476354E-1,9.685826302E-2,6.458515337E-1
8.905047520E-1,-5.209627151E-1,-3.686643541E-1,7.306003571E-2,6.423809815E-1
8.953001690E-1,-4.525079727E-1,-3.732658923E-1,3.230428696E-2,5.874814539E-1
9.000955860E-1,-3.610544205E-1,-3.205821812E-1,-6.140470505E-3,4.828777639E-1
9.048910020E-1,-2.489957809E-1,-2.845726013E-1,7.897615433E-3,3.782100431E-1
9.096864190E-1,-1.685142517E-1,-2.389847934E-1,-1.812577248E-2,2.929834947E-1
9.144817840E-1,-6.935596466E-2,-1.720341444E-1,-2.181959152E-2,1.867674791E-1
9.192772000E-1,1.521205902E-2,-1.077620983E-1,-1.259469986E-2,1.095568484E-1
9.240726170E-1,1.161947250E-1,-1.539063454E-2,-1.655864716E-2,1.183734538E-1
9.288680340E-1,2.404842377E-1,3.361088037E-2,1.128101349E-2,2.430835682E-1
9.336634500E-1,3.617229462E-1,6.097382307E-2,7.765007019E-2,3.749544376E-1
9.384588670E-1,4.229001999E-1,8.595871925E-2,8.235263824E-2,4.393352222E-1
9.432542310E-1,4.505596161E-1,1.275196075E-1,9.221792221E-2,4.772518865E-1
9.480496480E-1,4.425678253E-1,1.617490649E-1,7.864928246E-2,4.777182743E-1
9.528450650E-1,4.204950333E-1,1.792364120E-1,9.148478508E-2,4.661665264E-1
9.576404810E-1,3.867683411E-1,1.586617231E-1,8.054447174E-2,4.257354859E-1
9.624358980E-1,3.532724380E-1,1.572973728E-1,9.805798531E-2,3.989476751E-1
9.672313150E-1,3.080739975E-1,1.156353354E-1,7.956528664E-2,3.385435771E-1
9.720266790E-1,2.417116165E-1,9.576904774E-2,8.453273773E-2,2.733898312E-1
9.768220960E-1,1.543273926E-1,9.274554253E-2,9.370422363E-2,2.029757653E-1
9.816175130E-1,7.455825806E-2,7.550275326E-2,8.566784859E-2,1.363766104E-1
9.864129290E-1,-9.545326233E-3,5.835956335E-2,1.056015491E-1,1.210315623E-1
9.912083460E-1,-7.658481598E-2,4.601275921E-2,1.010985374E-1,1.349196884E-1
9.960037630E-1,-1.503944397E-1,5.503612757E-2,1.127822399E-1,1.958757169E-1
1.000799127E0,-2.000436783E-1,4.728853703E-2,1.144707203E-1,2.352811611E-1
1.005594544E0,-2.779178619E-1,2.524590492E-2,1.324026585E-1,3.088788722E-1
1.010389961E0,-3.054513931E-1,1.990085840E-2,1.214094162E-1,3.292975009E-1
1.015185377E0,-3.447580338E-1,3.822481632E-2,1.410586834E-1,3.744553252E-1
1.019980794E0,-3.340787888E-1,3.962218761E-2,1.554298401E-1,3.705900566E-1
1.024776211E0,-3.283958435E-1,4.321378469E-2,1.527240276E-1,3.647408530E-1
1.029571575E0,-3.205614090E-1,6.318473816E-2,1.306900978E-1,3.518974705E-1
1.034366992E0,-2.678623199E-1,7.327085733E-2,1.203875542E-1,3.026747498E-1
1.039162409E0,-2.584714890E-1,9.725409746E-2,9.798574448E-2,2.930308451E-1
1.043957825E0,-1.994590759E-1,8.998203278E-2,7.787179947E-2,2.322599973E-1
1.048753242E0,-1.600446701E-1,8.489036560E-2,5.531263351E-2,1.894205850E-1
1.053548659E0,-1.020746231E-1,9.151983261E-2,4.223513603E-2,1.434535296E-1
1.058344023E0,-5.415630341E-2,8.841329813E-2,1.013302803E-2,1.041753077E-1
1.063139440E0,-6.668090820E-3,7.329708338E-2,-3.862380981E-4,7.360078156E-2
1.067934856E0,2.620124817E-2,4.866325855E-2,-3.643989563E-3,5.538859809E-2
1.072730273E0,4.227256775E-2,3.839772940E-2,-1.615571976E-2,5.934949779E-2
1.077525690E0,8.437919617E-2,4.002577066E-2,-7.042646408E-3,9.365633952E-2
1.082321106E0,1.048564911E-1,2.025842667E-2,-2.155280113E-2,1.089486614E-1
1.087116471E0,1.323413849E-1,-4.049479961E-3,-2.157378197E-2,1.341494261E-1
1.091911888E0,1.217184067E-1,-2.088427544E-2,-1.904416084E-2,1.249568067E-1
1.096707304E0,1.302614212E-1,-1.614844799E-2,2.637958527E-2,1.338831309E-1
1.101502721E0,1.055994034E-1,-3.032046556E-2,2.791166306E-3,1.099015707E-1
1.106298138E0,9.073829651E-2,-4.427760839E-2,1.284456253E-2,1.017788183E-1
1.111093554E0,7.604122162E-2,-5.330634117E-2,3.001236916E-2,9.759393268E-2
1.115888919E0,7.096958160E-2,-3.612422943E-2,2.332878113E-2,8.298116349E-2
1.120684336E0,8.253097534E-2,-2.389550209E-3,2.138948441E-2,8.529115947E-2
1.125479752E0,7.970333099E-2,1.208090782E-2,9.845256805E-3,8.121267381E-2
1.130275169E0,6.491565704E-2,2.875983715E-2,1.948952675E-2,7.362752485E-2
1.135070586E0,1.000690460E-1,4.531115294E-2,5.514621735E-4,1.098508929E-1
1.139866002E0,1.112794876E-1,5.243307352E-2,-2.994585037E-2,1.266061038E-1
1.144661367E0,8.454418182E-2,6.447535753E-2,-4.810404778E-2,1.166995708E-1
1.149456784E0,6.525802612E-2,8.137911558E-2,-5.877757072E-2,1.197329247E-1
1.154252200E0,5.803203583E-2,6.263083220E-2,-4.556417465E-2,9.678033031E-2
1.159047617E0,1.288318634E-2,6.062418222E-2,-2.538084984E-2,6.697354328E-2
1.163843034E0,1.314926147E-2,6.087452173E-2,1.672029495E-3,6.230093222E-2
1.168638450E0,-1.278305054E-2,8.241236210E-2,2.354502678E-2,8.665778727E-2
1.173433815E0,-1.724433899E-2,8.222585917E-2,3.079700470E-2,8.948136477E-2
1.178229231E0,-2.829551697E-3,9.377604723E-2,3.055953979E-2,9.867035456E-2
1.183024648E0,-1.475048065E-2,1.265713573E-1,1.345348358E-2,1.281361829E-1
1.187820065E0,-2.429294586E-2,1.234597564E-1,-1.795601845E-2,1.271018382E-1
1.192615481E0,-3.856468201E-2,1.725190282E-1,-1.014435291E-1,2.038156996E-1
1.197410898E0,-5.275535583E-2,1.665865183E-1,-1.416084766E-1,2.249158872E-1
1.202206263E0,-3.814697266E-4,1.773260236E-1,-1.719357967E-1,2.469951059E-1
1.207001679E0,1.605606079E-2,1.738543510E-1,-2.018182278E-1,2.668590068E-1
1.211797096E0,6.569957733E-2,2.132245302E-1,-2.359287739E-1,3.247206817E-1
1.216592513E0,1.056251526E-1,2.477138638E-1,-2.574915886E-1,3.725865663E-1
1.221387929E0,1.430587769E-1,2.632367015E-1,-2.570734024E-1,3.947734906E-1
1.226183346E0,1.756315231E-1,2.837571502E-1,-2.633841038E-1,4.251302604E-1
1.230978711E0,2.009887695E-1,2.854561806E-1,-2.692966461E-1,4.409108755E-1
1.235774127E0,2.310113907E-1,2.448725700E-1,-2.440764904E-1,4.158150687E-1
1.240569544E0,2.157640457E-1,1.837331057E-1,-2.213649750E-1,3.596031558E-1
1.245364961E0,1.935348511E-1,1.164832711E-1,-1.870341301E-1,2.932675517E-1
1.250160377E0,1.667137146E-1,3.846836090E-2,-1.484007835E-1,2.264863572E-1
1.254955794E0,1.281433105E-1,-2.895033360E-2,-7.956051826E-2,1.535861515E-1
1.259751159E0,6.603431702E-2,-1.025494933E-1,-1.639652252E-2,1.230681744E-1
1.264546575E0,1.612758636E-2,-1.515291035E-1,4.104018211E-2,1.578146533E-1
1.269341992E0,-5.014610291E-2,-1.619046628E-1,9.520006180E-2,1.943985680E-1
1.274137409E0,-9.707641602E-2,-1.413154602E-1,1.460916996E-1,2.252480289E-1
1.278932825E0,-1.129255295E-1,-1.564637721E-1,1.748452187E-1,2.603918925E-1
1.283728190E0,-1.240081787E-1,-1.335479021E-1,1.698930264E-1,2.491519836E-1
1.288523606E0,-1.113319397E-1,-7.539138198E-2,1.909754276E-1,2.335600035E-1
1.293319023E0,-1.130075455E-1,-3.934812546E-2,1.810584068E-1,2.170279406E-1
1.298114440E0,-1.169605255E-1,3.386884928E-2,2.023413181E-1,2.361543404E-1
1.302909856E0,-1.254644394E-1,7.508772612E-2,2.025437355E-1,2.498068393E-1
1.307705273E0,-9.335803986E-2,8.937543631E-2,2.483623028E-1,2.799777235E-1
1.312500638E0,-8.505630493E-2,1.337680817E-1,2.824714184E-1,3.239113720E-1
1.317296054E0,-9.565925598E-2,1.130732298E-1,3.001196384E-1,3.346760313E-1
1.322091471E0,-1.084814072E-1,9.659492970E-2,3.297376633E-1,3.603133674E-1
1.326886888E0,-1.378707886E-1,7.729023695E-2,3.614182472E-1,3.944683568E-1
1.331682304E0,-1.220808029E-1,5.400180817E-3,3.735790253E-1,3.930574672E-1
1.336477721E0,-1.066589355E-1,-4.253083467E-2,3.566765785E-1,3.747041261E-1
1.341273086E0,-1.177330017E-1,-1.164287329E-1,3.108646870E-1,3.522123836E-1
1.346068502E0,-1.384487152E-1,-1.661309302E-1,2.316772938E-1,3.169257029E-1
1.350863919E0,-1.235961914E-1,-2.036101520E-1,1.645705700E-1,2.895109411E-1
1.355659336E0,-1.184825897E-1,-2.477945983E-1,9.535074234E-2,2.907439614E-1
1.360454752E0,-1.134653091E-1,-2.605764866E-1,6.452512741E-2,2.914412013E-1
1.365250117E0,-1.013689041E-1,-2.754038572E-1,3.155970573E-2,2.951592017E-1
1.370045534E0,-1.106891632E-1,-2.352957129E-1,-3.448724747E-3,2.600539503E-1
1.374840950E0,-1.340694427E-1,-1.953410804E-1,9.499311447E-3,2.371138758E-1
1.379636367E0,-1.405601501E-1,-1.460258961E-1,8.266448975E-3,2.028522919E-1
1.384431784E0,-1.516609192E-1,-8.270817995E-2,2.381801605E-2,1.743816944E-1
1.389227200E0,-1.412868500E-1,-5.773052573E-2,2.504038811E-2,1.546667664E-1
1.394022617E0,-1.333456039E-1,9.848058224E-3,5.002689362E-2,1.427610746E-1
1.398817981E0,-1.183824539E-1,4.375505447E-2,4.624819756E-2,1.344165390E-1
1.403613398E0,-6.325340271E-2,8.937358856E-2,5.186271667E-2,1.211543341E-1
1.408408815E0,-2.758693695E-2,9.906274080E-2,5.975675583E-2,1.189341649E-1
1.413204231E0,-2.782630920E-2,1.111139655E-1,6.753754616E-2,1.329734446E-1
1.417999648E0,-4.366874695E-3,1.064468622E-1,5.857062340E-2,1.215751701E-1
1.422795065E0,-2.447128296E-3,1.041009426E-1,7.107305527E-2,1.260728911E-1
1.427590429E0,3.268051147E-2,8.499294519E-2,5.028605461E-2,1.040216509E-1
